Name,Role,Specific Challenges,Goals for the Coaching Session,Internal State,Names of Key People
Priya Sharma,Director of Product Management,"""My identity is tied to being the ""expert""; I fear failure and becoming irrelevant if I fully delegate.""",Get practical time management and delegation strategies.,"Overwhelmed, anxious, impatient.","Her boss, Mark (VP of Product)."
David Chen,Senior Engineering Manager,"""I believe ""soft skills"" are useless; I'm uncomfortable with emotions; my perfectionism prevents me from trusting my team.""","Learn to ""communicate better"" to satisfy his director after a bad 360 review.","Skeptical, reserved, defensive.","His boss, Susan (Director)."
Maria Flores,Head of People & Culture,"""I have extreme conflict avoidance; I fear being disliked; I prioritize harmony over accountability.""",Find a strategy to resolve a toxic conflict between two of her direct reports.,"Anxious, worried, agreeable.",Conflicting reports: Jessica and Ben.
Alex Petrov,Founder & CEO,"""I change priorities constantly; I struggle to translate vision into actionable steps; I get bored with execution details.""",Get his team to be more proactive and take more ownership.,"Energetic, charming, but also frustrated.","His COO, Laura, who tries to manage the chaos."
Sarah Jenkins,Chief Financial Officer,"""I feel my work is stale and unfulfilling; I'm grappling with a loss of purpose and identity outside my successful career.""",Figure out a plan for the next phase of her career.,"Bored, conflicted, guilty, analytical.","Her husband, David, who is supportive but doesn't understand."
James Williams,Art Director,"""I'm a new manager and I'm overwhelmed by the demands of leading a team; I struggle with setting boundaries and saying no.""",Get his team to produce higher quality work so he doesn't have to redo it himself.,"Passionate, frustrated, defensive.",Two junior designers threatening to quit: Leo and Mia.
Dr. Emily Carter,Chief of Surgery,"""I'm a high-achiever who is constantly seeking external validation; I struggle with imposter syndrome and burnout.""",Find ways to reduce burnout and turnover in her department.,"Confident, decisive, perhaps a bit annoyed.","A senior resident, Dr. Evans, who gave her direct feedback."
Michael Thompson,VP of Sales,"""I'm a creative who struggles with structure and discipline; I procrastinate and miss deadlines.""",Find a way to trust his team to close big deals so he can focus on strategy.,"Charismatic, impatient, competitive.","His top Sales Director, Karen, who is ready for more responsibility."
Chloe Davis,New CEO (Internal Promote),"""I'm a seasoned executive who is resistant to change; I cling to old methods and fear disrupting the status quo.""",Gain confidence and stop feeling like a fraud in her new role.,"Hesitant, anxious, seeks validation.","The Board Chairman, Mr. Harrison, who championed her promotion."
Kenji Tanaka,Head of R&D,"""I'm a team player who avoids the spotlight; I struggle with self-promotion and advocating for my ideas.""","Get his team to ""think bigger"" and be more innovative.","Intellectual, calm, risk-averse.","A promising but cautious scientist on his team, Dr. Anya Sharma."
